Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
CCc1[nH]cc(n1)C,AC11871,110.159,0.53,1.12,1.0,2.0,28.68,Null,-3.51,2672.32,-0.4387,23.3581599143,8.97179755229,1.286555768997747646890002478,0.3216389422494369117225006194,3.476201524987438879421221639,1.615131522829210865656655624
Oc1cc(C)c2c(n1)cccc2,AC12157,159.187,-2.18,2.24,1.0,2.0,33.12,Null,-5.24,144.1,-0.4367,24.1309655888,11.5982367729,1.920668009593005380904738956,0.3201113349321675634841231594,4.920517265233635589531983606,3.043243617394246249820528406
COc1ccc2c(c1)c(c[nH]2)CN(C)C,AC12586,204.271,-1.95,2.05,1.0,3.0,28.26,Null,-4.96,231.16,-0.3307,17.8003109311,12.8665510057,1.212029104735218196988687445,0.2424058209470436393977374889,4.812178573261335845778333692,2.946294029179044908561745577
Cc1cccc2c1[nH]cc2,AC12704,131.177,-1.91,2.62,1.0,1.0,15.79,Null,-4.64,396.74,-0.4640,25.9305671803,21.5420773338,3.401494011011807246105150721,0.3401494011011807246105150721,4.401494011011807216434395265,2.519351705436155693227199929
Cc1ccc(s1)C(=O)O,AC12788,142.177,Null,1.99,1.0,2.0,37.3,Null,-4.49,511.06,-0.4989,23.1509182876,8.8244721431,1.645764054688779142752082356,0.3657253454863953650560183013,4.245770618816883165852632211,2.444357455553422099335847023
c1ccc2c(c1)[nH]c1c2ccnc1,AC12926,168.198,-2.93,2.41,1.0,2.0,28.68,Null,-4.88,264.59,-0.3754,21.2691385968,12.4735933532,1.788713286852201725746342776,0.2751866595157233424225142733,4.691369926011240187331785898,2.803247401110839823596199088
OC(=O)Cc1cccnc1.Cl,AC13196,173.598,Null,0.39,2.0,3.0,50.19,Null,-4.32,680.91,-0.4320,18.2427809515,6.3098431712,1.055636762542242190259924410,0.3166910287626726570779773229,4.166910287626726570779773229,2.406455005045729441681735714
Fc1ccc(cc1)N1CCNCC1,AC18454,180.225,-1.16,1.43,1.0,2.0,15.27,Null,-4.14,922.67,-0.3185,16.8398035786,19.8752691549,1.517476799977410789270872332,0.2334579692272939675801342049,4.148896952261658334990085452,2.290768634150421721579041003
c1ccc(cc1)c1n[nH]cc1,AC29603,144.176,-0.37,1.92,1.0,2.0,28.68,Null,-4.6,424.45,-0.4182,23.3892843614,11.7579269947,1.686086731041035257375635616,0.3065612238256427740682973846,4.413566147240295562434900063,2.531066434427712422384497123
Cn1c(=S)oc2c1cccc2,AC29729,165.215,-1.8,2.15,0.0,2.0,18.07,Null,-5.22,149.05,-0.4745,23.1617469336,21.1769121175,1.913334009815675186279506760,0.3478789108755773065962739564,4.868060704789575388628788467,3.044717494343892113885956167
