Smiles	CodeID	MolecularWeight	cLogS	cLogP	HBD	HBA	PSA	ROTATABLE_BONDS	DG	Ki	LIGAND_EFFICIENCY	BEI	SEI	NSEI	NBEI	nBEI	mBEI
CCOC(=O)c1ccc(cc1)N=C=O	AC17031	191.185	Null	1.831	0.0	4.0	55.73	Null	-5.0	216.07	-0.36	19.1720350868	6.57707792583	0.9163513820169294829742955872	0.2618146805762655665640844535	4.811533563745955916962853152	2.946859343451439032186427742
O=C=Nc1ccccc1N(=O)=O	AC29669	164.12	Null	2.085	0.0	2.0	75.25	Null	-5.3	130.22	-0.44	23.6736674932	5.16321901527	0.7770644617978244384346184868	0.3237768590824268493477577028	4.964503555036747042494998218	3.100483817283997291282634041
O=C=Nc1ccc(cc1)N(=O)=O	AC29670	164.12	Null	2.085	0.0	2.0	75.25	Null	-4.9	255.8	-0.41	21.8870305865	4.77355409948	0.7184198919714729820140364426	0.2993416216547804091725151844	4.671280705904989737792687906	2.807260968152240015348344114
O=C=Nc1c(F)cccc1F	AC30815	155.103	Null	1.932	0.0	2.0	29.43	Null	-5.0	216.07	-0.45	23.6320737063	12.4546569081	1.832702764033858965948591174	0.3332186843697925392633802135	4.706798213225942999887571887	2.856025726080197559871053846
O=C=Nc1ccc(c(c1)C(F)(F)F)Cl	AC30913	221.565	Null	3.326	0.0	2.0	29.43	Null	-5.5	92.91	-0.39	18.1975381487	13.7000935777	2.015968769961775420918436678	0.2879955385659679172740623826	5.178065575601788859844160228	3.377438697119932797177022291
Fc1ccc(cc1N=C=O)F	AC30914	155.103	Null	1.932	0.0	2.0	29.43	Null	-5.3	130.22	-0.48	25.0499494464	13.201910666	1.942661154494561096086546217	0.3532111189990111083793720395	4.926714994147347227273442382	3.075942507001601787908344101
O=C=Nc1ccccc1c1ccccc1	AC31411	195.22	Null	3.321	0.0	2.0	29.43	Null	-5.7	66.29	-0.38	21.4043232301	14.1982738056	2.089275990491234862239062898	0.2785701320654979816318750531	5.354643240038150966559414804	3.469076289419160158287173250
O=C=Nc1ccccc1CC	AC31420	147.176	Null	2.216	0.0	2.0	29.43	Null	-5.0	216.07	-0.45	24.9049133559	12.4546569081	1.832702764033858965948591174	0.3332186843697925392633802135	4.706798213225942999887571887	2.833242523413188167755914138
O=C=Nc1ccc(c(c1)N(=O)=O)C	AC31427	178.146	Null	2.394	0.0	2.0	75.25	Null	-5.3	130.22	-0.41	21.8097645133	5.16321901527	0.7770644617978244384346184868	0.2988709468453170917056224949	4.999265661295958972679297637	3.136098384357434563172237258
O=C=Nc1ccc(cc1OC)OC	AC31429	179.174	Null	1.671	0.0	4.0	47.89	Null	-4.8	302.84	-0.37	19.6389362435	7.34764410626	0.8796966906219478750395811152	0.2706759048067531923198711124	4.632730114794628288800134598	2.772061751766141651201298508
