Smiles	CodeID	MolecularWeight	cLogS	cLogP	HBD	HBA	PSA	ROTATABLE_BONDS	DG	Ki	LIGAND_EFFICIENCY	BEI	SEI	NSEI	NBEI	nBEI	mBEI
CCc1[nH]cc(n1)C	AC11871	110.159	0.53	1.12	1.0	2.0	28.68	Null	-3.6	2295.68	-0.45	23.957086115	9.20184326827	1.319544324670073155768922168	0.3298860811675182889422305419	3.542178636332089897179061019	1.681108634173861902481122016
Oc1cc(C)c2c(n1)cccc2	AC12157	159.187	-2.18	2.24	1.0	2.0	33.12	Null	-5.6	78.48	-0.47	25.7887956028	12.3950513455	2.052620502814053968907059680	0.3421034171356756614845099468	5.184422251675732784285948957	3.307148603836343475779822518
COc1ccc2c(c1)c(c[nH]2)CN(C)C	AC12586	204.271	-1.95	2.05	1.0	3.0	28.26	Null	-4.9	255.8	-0.33	17.5849702594	12.7108968856	1.197366486619121636690060738	0.2394732973238243273380121475	4.768190718913046169408472081	2.902306174830755214229586860
Cc1cccc2c1[nH]cc2	AC12704	131.177	-1.91	2.62	1.0	1.0	15.79	Null	-4.8	302.84	-0.48	26.8247235604	22.2849066655	3.518786762487791500158324461	0.3518786762487791500158324461	4.518786762487791500158324461	2.636644456912139944215588340
Cc1ccc(s1)C(=O)O	AC12788	142.177	Null	1.99	1.0	2.0	37.3	Null	-4.3	704.29	-0.48	22.1712968904	8.45106830557	1.576124238989728881366657606	0.3502498308866064180814794679	4.106490987418782612252216693	2.305077824155321571265386110
c1ccc2c(c1)[nH]c1c2ccnc1	AC12926	168.198	-2.93	2.41	1.0	2.0	28.68	Null	-5.3	130.22	-0.41	23.0996938667	13.5471489156	1.942661154494561096086546217	0.2988709468453170917056224949	4.999265661295958972679297637	3.111143136395558597004953107
OC(=O)Cc1cccnc1.Cl	AC13196	173.598	Null	0.39	2.0	3.0	50.19	Null	-4.4	594.9	-0.44	18.5806059464	6.42669063773	1.075185343691678299636249627	0.3225556031075034898908748882	4.225556031075034879121262717	2.465100748494037798584625518
Fc1ccc(cc1)N1CCNCC1	AC18454	180.225	-1.16	1.43	1.0	2.0	15.27	Null	-5.2	154.16	-0.4	21.1514956213	24.9641669833	1.906014149176301725970666896	0.2932329460271233424570256762	4.925971650659440235465239117	3.067843332548203564423203101
c1ccc(cc1)c1n[nH]cc1	AC29603	144.176	-0.37	1.92	1.0	2.0	28.68	Null	-5.2	154.16	-0.47	26.440103057	13.2915909984	1.906014149176301725970666896	0.3465480271229639501764848901	4.853420983510828492691533762	2.970921270698245355442326350
Cn1c(=S)oc2c1cccc2	AC29729	165.215	-1.8	2.15	0.0	2.0	18.07	Null	-4.7	358.53	-0.43	20.8544895977	19.0673740945	1.722737249441119855668808850	0.3132249544438399737579652455	4.486867184040464793128928316	2.663523973594781482826336124
