Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
CN1CCN(CC1)N.Cl.Cl,AC10403,206.12,Null,0.28,3.0,3.0,32.5,Null,-3.6,2295.68,-0.45,12.8036515105,8.1202727672,0.879696216446715437179281445,0.3298860811675182889422305419,3.542178636332089897179061019,1.953208783129183432626640477
CCc1[nH]cc(n1)C,AC11871,110.159,0.53,1.12,1.0,2.0,28.68,Null,-3.6,2295.68,-0.45,23.957086115,9.20184326827,1.319544324670073155768922168,0.3298860811675182889422305419,3.542178636332089897179061019,1.681108634173861902481122016
Oc1cc(C)c2c(n1)cccc2,AC12157,159.187,-2.18,2.24,1.0,2.0,33.12,Null,-5.7,66.29,-0.48,26.2493292856,12.6164009088,2.089275990491234862239062898,0.3482126650818724770398438163,5.257733227030094552200631488,3.380459579190705241584740909
COc1ccc2c(c1)c(c[nH]2)CN(C)C,AC12586,204.271,-1.95,2.05,1.0,3.0,28.26,Null,-4.8,302.84,-0.32,17.2260710648,12.4514747434,1.172928920829263833386108154,0.2345857841658527666772216307,4.694878021543472766533744693,2.828993477461181784997248167
COc1cccc(c1)N1CCNCC1.Cl.Cl,AC12605,265.182,Null,0.61,3.0,3.0,24.5,Null,-4.8,302.84,-0.34,13.2693273393,14.3623949489,1.172928920829263833386108154,0.2513419116062708214398803186,4.664914798166029516366627125,2.942330804219096903298735295
Cc1cccc2c1[nH]cc2,AC12704,131.177,-1.91,2.62,1.0,1.0,15.79,Null,-4.9,255.8,-0.49,27.3836073386,22.7492049389,3.592099459857364910070182213,0.3592099459857364910070182213,4.592099459857364898565514973,2.709957154281713381307434681
Cc1ccc(s1)C(=O)O,AC12788,142.177,Null,1.99,1.0,2.0,37.3,Null,-4.3,704.29,-0.48,22.1712968904,8.45106830557,1.576124238989728881366657606,0.3502498308866064180814794679,4.106490987418782612252216693,2.305077824155321571265386110
c1ccc2c(c1)[nH]c1c2ccnc1,AC12926,168.198,-2.93,2.41,1.0,2.0,28.68,Null,-5.3,130.22,-0.41,23.0996938667,13.5471489156,1.942661154494561096086546217,0.2988709468453170917056224949,4.999265661295958972679297637,3.111143136395558597004953107
OC(=O)Cc1cccnc1.Cl,AC13196,173.598,Null,0.39,2.0,3.0,50.19,Null,-4.4,594.9,-0.44,18.5806059464,6.42669063773,1.075185343691678299636249627,0.3225556031075034898908748882,4.225556031075034879121262717,2.465100748494037798584625518
OC1CCCN(C1)Cc1ccccc1.Cl,AC13425,227.733,Null,1.89,2.0,2.0,23.47,Null,-5.2,154.16,-0.37,16.7390246401,16.2421316504,1.906014149176301725970666896,0.2722877355966145322815238422,4.958156334030841487412222390,3.169454265636489607064383134
Cc1c(C)cccc1N1CCNCC1,AC13693,190.288,-1.71,1.78,1.0,2.0,15.27,Null,-5.5,92.91,-0.39,21.1886064277,26.4043060899,2.015968769961775420918436678,0.2879955385659679172740623826,5.178065575601788859844160228,3.311348941462778086268956793
NCc1cccc(c1)F,AC15550,125.145,-1.06,1.59,1.0,1.0,26.02,Null,-4.7,358.53,-0.52,27.5318590346,13.2416391195,3.445474498882239711337617700,0.3828304998758044123708464111,4.399717008321564577719451378,2.542888001521742934406755311
Oc1ccc(cc1)n1cncc1,AC17979,160.175,-1.68,0.71,1.0,3.0,38.05,Null,-4.8,302.84,-0.4,21.9683893397,9.24779701048,1.172928920829263833386108154,0.2932322302073159583465270384,4.597968008535416308445525175,2.723381495151689710768415166
Fc1ccc(cc1)N1CCNCC1,AC18454,180.225,-1.16,1.43,1.0,2.0,15.27,Null,-5.3,130.22,-0.41,21.5581762186,25.4441539554,1.942661154494561096086546217,0.2988709468453170917056224949,4.999265661295958972679297637,3.141137343184722327278451833
OC(=O)C1CCCNC1,AC19919,129.158,0.35,-1.7,2.0,3.0,49.33,Null,-4.2,833.8,-0.47,23.8385396894,6.24151248573,1.026312703069907160818915582,0.3421042343566357202729718607,4.033180618649046385282771656,2.190059420595966726357538139
O=C1OCC[C@@H]1N.Cl,AC25995,137.565,Null,1.32,2.0,3.0,52.32,Null,-3.6,2295.68,-0.51,19.1843030519,5.04412968146,0.879696216446715437179281445,0.377012664191449473076834905,3.484186689354403142250060593,1.777596601841578808855050098
c1ccc(cc1)c1n[nH]cc1,AC29603,144.176,-0.37,1.92,1.0,2.0,28.68,Null,-5.1,182.51,-0.46,25.9315928789,13.0359600241,1.869356667450770825485868383,0.3398830304455946955428851605,4.780106020059766651410530789,2.897606307247183496306615235
Clc1ccc2c(c1)oc(n2)O,AC29726,169.567,-1.43,2.13,1.0,3.0,46.0,Null,-5.1,182.51,-0.46,22.0485904386,8.12763768457,1.246237778300513883657245589,0.3398830304455946955428851605,4.780106020059766651410530789,2.968054671546387199308400741
